fixture_id,datetime,timezone,venue,city,league,country,round,home_team,away_team,referee,duration
1082378,2023-08-21T17:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 1,Aris,AEK Larnaca,C. Photiou,90
1082385,2023-08-28T17:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 2,Aris,Doxa,A. Argyrou,90
1082393,2023-09-03T17:00:00+00:00,UTC,Stadio Vitex Ammochostos Epistrofi,Larnaca,1. Division,Cyprus,Regular Season - 3,AE Zakakiou,Aris,M. Christoforou,90
1082399,2023-09-17T16:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 4,Aris,Pafos,M. Antoniou,90
1082408,2023-09-25T16:00:00+00:00,UTC,Neo GSP,Levkosía,1. Division,Cyprus,Regular Season - 5,Omonia Nicosia,Aris,N. Simović,90
1082413,2023-09-30T16:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 6,Aris,Apollon Limassol,J. Sacchi,90
1082423,2023-10-08T16:00:00+00:00,UTC,Stadio Antonis Papadopoulos,Larnaca,1. Division,Cyprus,Regular Season - 7,Anorthosis,Aris,S. Putros,90
1082427,2023-10-21T16:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 8,Aris,Ethnikos Achna,M. Christoforou,90
1082438,2023-10-30T17:00:00+00:00,UTC,Stadio Vitex Ammochostos Epistrofi,Larnaca,1. Division,Cyprus,Regular Season - 9,Othellos,Aris,C. Theouli,90
1082441,2023-11-04T17:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 10,Aris,Nea Salamis,A. Techrany,90
1082453,2023-11-12T17:00:00+00:00,UTC,Stadio Stelios Kyriakides,Paphos,1. Division,Cyprus,Regular Season - 11,Karmiotissa,Aris,M. Antoniou,90
1082455,2023-11-25T17:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 12,Aris,Apoel Nicosia,N. Simović,90
1082468,2023-12-04T17:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 13,AEL,Aris,K. Fellas,90
1082469,2023-12-09T15:00:00+00:00,UTC,AEK Arena - George Karapatakis,Larnaca,1. Division,Cyprus,Regular Season - 14,AEK Larnaca,Aris,L. Fähndrich,90
1082476,2023-12-18T17:00:00+00:00,UTC,Stadio Peristerona,Peristerona,1. Division,Cyprus,Regular Season - 15,Doxa,Aris,P. Hadjigeorghiou,90
1082484,2023-12-22T17:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 16,Aris,AE Zakakiou,C. Photiou,90
1082490,2024-01-03T17:00:00+00:00,UTC,Stadio Stelios Kyriakides,Paphos,1. Division,Cyprus,Regular Season - 17,Pafos,Aris,F. Fourneau,90
1082499,2024-01-07T17:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 18,Aris,Omonia Nicosia,M. Antoniou,90
1082504,2024-01-14T17:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 19,Apollon Limassol,Aris,G. Kabakov,90
1082514,2024-01-22T17:00:00+00:00,UTC,Alphamega Stadium,Kolossi,1. Division,Cyprus,Regular Season - 20,Aris,Anorthosis,A. Dudic,90
